number,value,datetime_start,datetime_complete,duration,blocks,kernel_size,learning_rate,modelSeed,optimizer,padding,stride,user_attrs_datatype,user_attrs_transform,state,inner_fold,outer_fold
0,0.544036806,2023-06-30 22:25:09.820877,2023-06-30 22:27:18.325346,0 days 00:02:08.504469,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,0,0
1,10000,2023-06-30 22:27:18.326346,2023-06-30 22:27:18.331350,0 days 00:00:00.005004,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,0,0
2,0.172034368,2023-06-30 22:27:18.332350,2023-06-30 22:30:00.126656,0 days 00:02:41.794306,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,0,0
3,0.147364601,2023-06-30 22:30:00.126656,2023-06-30 22:34:08.836488,0 days 00:04:08.709832,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,0,0
4,0.348513573,2023-06-30 22:34:08.836488,2023-06-30 22:35:44.463490,0 days 00:01:35.627002,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,0,0
5,0.479376793,2023-06-30 22:35:44.463490,2023-06-30 22:38:36.798300,0 days 00:02:52.334810,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,0,0
6,0.26848042,2023-06-30 22:38:36.798300,2023-06-30 22:40:08.192212,0 days 00:01:31.393912,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,0,0
7,0.224648237,2023-06-30 22:40:08.192212,2023-06-30 22:42:23.289052,0 days 00:02:15.096840,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,0,0
8,0.216345713,2023-06-30 22:42:23.289052,2023-06-30 22:46:13.764913,0 days 00:03:50.475861,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,0,0
9,0.317059994,2023-06-30 22:46:13.764913,2023-06-30 22:47:50.864359,0 days 00:01:37.099446,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,0,0
10,0.449228942,2023-06-30 22:47:50.864359,2023-06-30 22:49:23.880595,0 days 00:01:33.016236,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,0,0
11,0.155028209,2023-06-30 22:49:23.880595,2023-06-30 22:54:17.769777,0 days 00:04:53.889182,4,7,0.0137,99,SGD,4,2,,transform_padding,COMPLETE,0,0
12,0.195850179,2023-06-30 22:54:17.769777,2023-06-30 22:59:09.748851,0 days 00:04:51.979074,4,7,0.003,76,SGD,4,2,,transform_padding,COMPLETE,0,0
13,0.154993892,2023-06-30 22:59:09.748851,2023-06-30 23:02:41.045780,0 days 00:03:31.296929,4,7,0.0296,78,SGD,4,2,,transform_padding,COMPLETE,0,0
14,0.211564347,2023-06-30 23:02:41.046785,2023-06-30 23:05:23.171978,0 days 00:02:42.125193,4,3,0.0359,70,SGD,4,2,,transform_padding,COMPLETE,0,0
15,0.386752129,2023-06-30 23:05:23.171978,2023-06-30 23:06:38.995650,0 days 00:01:15.823672,4,5,0.0336,79,SGD,6,6,,transform_padding,COMPLETE,0,0
16,0.145437405,2023-06-30 23:06:38.995650,2023-06-30 23:10:48.222473,0 days 00:04:09.226823,4,7,0.091,84,SGD,4,2,,transform_padding,COMPLETE,0,0
17,0.178705677,2023-06-30 23:10:48.222473,2023-06-30 23:17:51.688746,0 days 00:07:03.466273,3,7,0.0853,65,SGD,4,2,,transform_padding,COMPLETE,0,0
18,0.547027767,2023-06-30 23:17:51.688746,2023-06-30 23:19:01.853910,0 days 00:01:10.165164,4,3,0.0039,87,SGD,2,6,,transform_padding,COMPLETE,0,0
19,0.546867847,2023-06-30 23:19:01.853910,2023-06-30 23:20:19.589424,0 days 00:01:17.735514,4,5,0.0329,64,RMSprop,6,4,,transform_padding,COMPLETE,0,0
20,0.204589173,2023-06-30 23:20:19.589424,2023-06-30 23:27:15.257043,0 days 00:06:55.667619,3,7,0.0976,88,SGD,4,2,,transform_padding,COMPLETE,0,0
21,0.151275739,2023-06-30 23:27:15.258043,2023-06-30 23:31:24.091602,0 days 00:04:08.833559,4,7,0.0319,78,SGD,4,2,,transform_padding,COMPLETE,0,0
22,0.160730049,2023-06-30 23:31:24.091602,2023-06-30 23:35:58.002845,0 days 00:04:33.911243,4,7,0.0378,86,SGD,4,2,,transform_padding,COMPLETE,0,0
23,0.161808535,2023-06-30 23:35:58.002845,2023-06-30 23:40:31.715351,0 days 00:04:33.712506,4,7,0.0153,68,SGD,4,2,,transform_padding,COMPLETE,0,0
24,0.150285929,2023-06-30 23:40:31.715351,2023-06-30 23:44:06.577627,0 days 00:03:34.862276,4,7,0.0327,84,SGD,4,2,,transform_padding,COMPLETE,0,0
25,0.139807045,2023-06-30 23:44:06.577627,2023-06-30 23:47:19.046763,0 days 00:03:12.469136,4,7,0.0496,89,SGD,4,2,,transform_padding,COMPLETE,0,0
26,0.150660634,2023-06-30 23:47:19.046763,2023-06-30 23:50:30.786171,0 days 00:03:11.739408,4,7,0.056,6,SGD,4,2,,transform_padding,COMPLETE,0,0
27,0.538129926,2023-06-30 23:50:30.786171,2023-06-30 23:51:45.840107,0 days 00:01:15.053936,4,3,0.0994,93,Adam,2,4,,transform_padding,COMPLETE,0,0
