datatype,transform,modelSeed,learning_rate,optimizer_name,blocks,padding,stride,kernel_size,val_best_mae_epoch,val_best_mae,real_best_mae_epoch,real_best_mae,tbdir
pearson,transform_padding,38,0.063512210106407,Adam,5,4,2,7,17,0.9907022714614868,2,0.5151236653327942,
pearson,transform_padding,97,0.0171233759731639,SGD,5,4,2,7,26,0.0456442050635814,18,0.3262695670127868,
pearson,transform_padding,78,0.0572790447079962,SGD,4,4,2,7,26,0.0218438357114791,27,0.2818788886070251,
pearson,transform_padding,8,0.0886232650857624,Adam,3,2,4,3,29,0.0389136672019958,26,0.3815395832061767,
pearson,transform_padding,33,0.0082875223637681,RMSprop,5,4,2,7,16,0.9892970323562622,4,0.5283018946647644,
pearson,transform_padding,32,0.0010821382910613,Adam,3,6,6,7,29,0.0237476732581853,12,0.3261323869228363,
pearson,transform_padding,54,0.016973078532467,Adam,5,2,2,5,26,0.0321281813085079,29,0.3203286528587341,
pearson,transform_padding,52,0.0064874770660586,RMSprop,4,6,2,3,26,0.0295703187584877,29,0.3323336839675903,
pearson,transform_padding,49,0.0876197110102369,SGD,4,4,4,7,26,0.0423018150031566,29,0.2946177721023559,
pearson,transform_padding,94,2.0708485661206484e-05,SGD,4,4,4,5,29,0.6935880184173584,15,0.4175158143043518,
pearson,transform_padding,76,0.0760049568650134,SGD,4,4,4,7,25,0.0444544553756713,16,0.297054648399353,
pearson,transform_padding,73,0.0753956784885521,SGD,4,4,4,7,25,0.0436760857701301,12,0.2883605360984802,
pearson,transform_padding,74,0.0027308349581482,SGD,4,4,4,7,11,0.259213387966156,17,0.3708076477050781,
pearson,transform_padding,72,0.0196393093072614,SGD,4,4,6,3,21,0.9882096648216248,1,0.5216015577316284,
pearson,transform_padding,84,0.0307649189742138,SGD,4,6,2,5,28,0.0346225127577781,23,0.3102933764457702,
pearson,transform_padding,67,0.0045252715897498,SGD,4,4,4,7,29,0.2112716883420944,25,0.3287073373794555,
pearson,transform_padding,88,0.0275408093929505,SGD,3,4,2,7,28,0.028529604896903,24,0.3035979866981506,
pearson,transform_padding,63,0.0321773928939807,SGD,4,2,4,3,29,0.1043091043829917,27,0.3857892751693725,
