datatype,transform,modelSeed,learning_rate,optimizer_name,blocks,padding,stride,kernel_size,val_best_mae_epoch,val_best_mae,real_best_mae_epoch,real_best_mae,tbdir
pearson,transform_padding,38,0.063512210106407,Adam,5,4,2,7,17,0.9906723499298096,2,0.5153499841690063,
pearson,transform_padding,97,0.0171233759731639,SGD,5,4,2,7,19,0.0570874735713005,18,0.325829803943634,
pearson,transform_padding,78,0.0572790447079962,SGD,4,4,2,7,19,0.0261597335338592,15,0.3004788160324096,
pearson,transform_padding,8,0.0886232650857624,Adam,3,2,4,3,16,0.0460724979639053,8,0.3931552767753601,
pearson,transform_padding,33,0.0082875223637681,RMSprop,5,4,2,7,16,0.9891435503959656,4,0.5283386707305908,
pearson,transform_padding,32,0.0010821382910613,Adam,3,6,6,7,19,0.0283669158816337,12,0.3228069543838501,
pearson,transform_padding,54,0.016973078532467,Adam,5,2,2,5,0,0.9828243255615234,15,0.5026559829711914,
pearson,transform_padding,52,0.0064874770660586,RMSprop,4,6,2,3,18,0.040993545204401,17,0.3486137390136719,
pearson,transform_padding,49,0.0876197110102369,SGD,4,4,4,7,17,0.0458799451589584,17,0.2956159710884094,
pearson,transform_padding,7,2.0708485661206484e-05,SGD,4,4,4,5,18,0.691159188747406,5,0.4144602417945862,
pearson,transform_padding,80,0.0760049568650134,SGD,4,4,4,7,16,0.0520648062229156,7,0.3195457458496094,
pearson,transform_padding,73,0.0753956784885521,SGD,4,4,4,7,18,0.0509311258792877,12,0.2813830971717834,
pearson,transform_padding,69,0.0027308349581482,SGD,4,4,4,7,19,0.2734139561653137,14,0.3671411573886871,
pearson,transform_padding,66,0.0206702710632604,SGD,4,4,4,3,4,0.9797861576080322,8,0.5018251538276672,
pearson,transform_padding,100,0.0929719574233154,SGD,4,6,4,5,17,0.0427678301930427,1,0.3203001022338867,
pearson,transform_padding,86,0.0265483840306387,SGD,4,4,4,7,19,0.0727773606777191,6,0.3277109265327453,
pearson,transform_padding,23,0.0072245114312264,SGD,3,4,4,7,19,0.1254402995109558,19,0.328372448682785,
pearson,transform_padding,65,0.0031914768556465,SGD,4,2,6,3,12,0.9889582991600036,4,0.5270312428474426,
pearson,transform_padding,43,0.0303747005141166,RMSprop,4,6,4,5,16,0.9852160811424256,17,0.5067324638366699,
pearson,transform_padding,19,0.0417957762909842,SGD,3,4,4,7,16,0.0448056906461715,18,0.2967491149902344,
pearson,transform_padding,18,0.0406237647179742,SGD,3,4,4,7,17,0.0475968047976493,8,0.3148756325244903,
pearson,transform_padding,22,0.0342297154211457,SGD,3,4,4,7,19,0.04561672732234,5,0.2904418110847473,
pearson,transform_padding,44,0.0965831882686831,SGD,3,4,4,7,18,0.0336108058691024,19,0.2855543196201324,
pearson,transform_padding,27,0.0299279909219138,SGD,3,4,4,7,19,0.053801666945219,18,0.3052891492843628,
pearson,transform_padding,60,0.0120701748202482,SGD,3,4,6,7,19,0.1222216114401817,18,0.3307587802410126,
pearson,transform_padding,42,0.0492479814758505,SGD,3,4,4,7,19,0.043235819786787,15,0.2981727421283722,
pearson,transform_padding,10,0.0993513810194266,Adam,3,6,4,3,16,0.0462655425071716,19,0.3539066016674042,
pearson,transform_padding,73,0.0338939233622176,RMSprop,3,2,4,5,18,0.0295057892799377,15,0.2660861611366272,
pearson,transform_padding,75,0.0476884538080522,RMSprop,3,2,6,5,19,0.0633470341563224,11,0.3770733177661896,
pearson,transform_resize,38,0.063512210106407,Adam,5,4,2,7,19,0.0367945916950702,13,0.3760967254638672,
pearson,transform_resize,97,0.0171233759731639,SGD,5,4,2,7,18,0.0578456744551658,4,0.3407949209213257,
pearson,transform_resize,78,0.0572790447079962,SGD,4,4,2,7,18,0.0260117128491401,0,0.4038327038288116,
pearson,transform_resize,8,0.0886232650857624,Adam,3,2,4,3,18,0.041283868253231,8,0.4226406514644623,
pearson,transform_resize,33,0.0082875223637681,RMSprop,5,4,2,7,16,0.9879424571990968,14,0.5237098932266235,
pearson,transform_resize,32,0.0010821382910613,Adam,3,6,6,7,17,0.0254347398877143,14,0.3475590646266937,
pearson,transform_resize,54,0.016973078532467,Adam,5,2,2,5,19,0.0278711654245853,6,0.357856273651123,
pearson,transform_resize,52,0.0064874770660586,RMSprop,4,6,2,3,16,0.0341674014925956,7,0.3439685702323913,
pearson,transform_resize,49,0.0876197110102369,SGD,4,4,4,7,18,0.0462675355374813,0,0.3625423312187195,
pearson,transform_resize,98,1.056790089450164e-05,SGD,5,4,4,5,16,0.8334009647369385,8,0.450633704662323,
pearson,transform_resize,98,0.0042791018768408,RMSprop,4,6,2,3,18,0.0346617139875888,7,0.3811364769935608,
pearson,transform_resize,76,0.0030070162326071,RMSprop,4,6,2,3,17,0.0345205813646316,2,0.364150732755661,
pearson,transform_resize,3,0.0177087471496823,SGD,4,6,2,3,19,0.062068872153759,1,0.3640961647033691,
pearson,transform_resize,75,0.0017035283876214,SGD,3,6,2,3,17,0.0577291958034038,16,0.378977358341217,
pearson,transform_resize,16,0.0083049939062652,RMSprop,5,6,6,5,18,0.0758061856031417,14,0.4292428493499756,
pearson,transform_resize,65,0.0003980364072244,SGD,4,4,2,3,19,0.1593396365642547,18,0.3816491961479187,
pearson,transform_resize,87,0.0277737759456168,RMSprop,5,4,2,7,4,0.990919589996338,0,0.4900710582733154,
pearson,transform_resize,21,0.0058982585989268,RMSprop,4,6,6,3,10,0.9908138513565063,6,0.4816628694534302,
pearson,transform_resize,62,0.0247012928697558,SGD,3,2,4,5,17,0.0658891946077346,0,0.3844435811042785,
pearson,transform_resize,90,0.0023686775715366,SGD,5,6,2,3,19,0.1488354802131652,16,0.392639696598053,
pearson,transform_resize,35,0.0009148468466919,Adam,3,6,6,7,19,0.0269954185932874,6,0.3107056021690368,
pearson,transform_resize,44,0.0008121774070581,Adam,3,6,6,7,19,0.02745046839118,0,0.3320508301258087,
pearson,transform_resize,39,0.0004217684675068,Adam,3,6,6,7,19,0.0306225176900625,17,0.3208993673324585,
